0.001080472,1.55E-14
0.001362868,8.96E-15
0.001719072,6.45E-15
0.002168375,3.73E-15
0.002955209,2.40E-15
0.003727594,1.39E-15
0.005080218,8.96E-16
0.006408003,6.45E-16
0.007480826,3.73E-16
0.010195379,2.68E-16
0.013894955,1.93E-16
0.018936989,1.39E-16
0.025808615,8.96E-17
0.035173735,5.18E-17
0.044366873,3.34E-17
0.055962764,2.40E-17
0.076269859,1.93E-17
0.096204033,1.73E-17
0.131113394,1.39E-17
0.165381678,1.55E-17
0.22539339,1.25E-17
0.30718143,1.25E-17
0.387467512,1.55E-17
0.452337074,2.15E-17
0.528067057,3.34E-17
0.616475706,5.18E-17
0.719685673,8.96E-17
0.907785399,1.55E-16
1.059766249,2.99E-16
1.237191635,4.64E-16
1.3367507,8.96E-16
1.560548645,1.55E-15
1.821814699,2.68E-15
1.968419447,4.64E-15
2.297970969,8.03E-15
2.682695795,1.73E-14
3.131831005,3.73E-14
3.656160144,7.20E-14
3.950378014,1.39E-13
4.611747768,2.68E-13
4.982863515,4.16E-13
5.817091329,8.03E-13
6.285203269,1.55E-12
6.79098503,2.40E-12
7.337467971,3.73E-12
7.927927389,6.45E-12
8.565902154,1.25E-11
9.25521591,2.68E-11
9.25521591,5.18E-11
10,2.99E-10
10,1.55E-10
10,1.00E-10
